Stamar Tanjung Priok;;;;;;;;;
;;;;;;;;;
;Temperature Max C (Daily);Temperature Mean C (Daily);Temperature Min C (Daily);Evaporation Total mm (Daily);Dew Point Mean C (Daily);Relative Humidity Mean % (Daily);Wind Speed Mean ms (Daily);Wind Speed Max ms (Daily);Sunshine Hours (Daily)
02/03/2022 00:00;31.1;28;25.4;.6;24;79;4.3;6.7;.9
03/03/2022 00:00;31.9;28.8;25;5.2;24.1;75.8;2.8;4.6;5.7
04/03/2022 00:00;31;28.4;25.2;5;23.9;76.4;1.5;3.6;7.3
05/03/2022 00:00;32.8;27.7;24.2;3.5;23.4;77.7;1.8;7.7;1.8
06/03/2022 00:00;33.2;28.7;26.6;3.9;23.4;73;4.6;10.3;4.5
07/03/2022 00:00;32.8;29.2;26.2;4.5;23.4;71.3;2.5;6.2;7.3
08/03/2022 00:00;31.6;28.1;26.3;9999;24.7;82.1;1.7;4.1;9999
09/03/2022 00:00;31;28.4;26.4;1.7;24.3;78.6;1.1;3.1;4.2
10/03/2022 00:00;31.6;29.1;26.4;2;24.3;75.3;1;3.6;2.7
11/03/2022 00:00;31;28.5;26.8;1.2;24.4;78.8;3.4;6.7;7
12/03/2022 00:00;31.2;28.2;26.7;5.4;24.8;81.8;2.6;7.2;7.2
13/03/2022 00:00;31.9;29.3;27;2.7;25.3;79.3;1.3;4.1;3.9
14/03/2022 00:00;32.6;29;27.2;4.4;25.2;80;1.2;4.6;7.5
15/03/2022 00:00;30.1;27.4;25.9;5.4;24.2;82.4;1.6;4.1;7.1
16/03/2022 00:00;32;29.8;26;1.5;24.7;74.1;1.6;5.1;.3
17/03/2022 00:00;32.6;29.8;27.4;4.5;25.2;76.3;1.6;5.7;7
18/03/2022 00:00;33;29.5;27.4;5.7;24.6;75;2.5;5.7;8.9
19/03/2022 00:00;34.2;30;27.6;2.4;23.5;68.3;3.8;7.2;.9
20/03/2022 00:00;35.6;30.5;27.4;8.1;22.8;63.3;5.1;9.8;6.3
21/03/2022 00:00;34.3;30;27.1;6.2;23;66.1;4.3;6.7;8.4
22/03/2022 00:00;31.9;29.7;27.6;5.6;24.2;72.7;2.9;5.7;5.4
23/03/2022 00:00;31.8;28.2;26.2;4.5;23.6;76.3;2.8;6.2;2.5
24/03/2022 00:00;31.6;29.4;26.2;2.1;24.8;76.2;1.1;5.1;3.4
25/03/2022 00:00;33.1;29.7;27.8;2.8;24.8;74.8;1.8;4.1;8
26/03/2022 00:00;30.4;26.6;24.2;7.5;24;85.4;.9;9.8;7
27/03/2022 00:00;32.2;28.3;25.2;1.5;24.8;81;1.8;4.6;.3
28/03/2022 00:00;31.2;28.8;25.6;7.4;24.2;76.5;1.7;2.6;8.8
29/03/2022 00:00;32.2;29.7;27.2;4.4;24.7;74.9;1.2;3.6;6.6
30/03/2022 00:00;31.8;29.6;27.4;9999;24.3;73.3;.7;3.6;9999
31/03/2022 00:00;33;29.4;26.6;3.1;24.3;74.2;2.3;7.2;2.3
01/04/2022 00:00;31;28.9;27;2.7;24.5;77.2;1.6;3.6;7.9
02/04/2022 00:00;32.5;29.8;26.7;3.7;24;70.9;2.2;3.6;0
03/04/2022 00:00;32;27.5;26;4.4;23.8;80.3;1.9;7.2;8.1
04/04/2022 00:00;32;29.3;26.1;1.8;24;73.3;1.5;5.1;3.5
05/04/2022 00:00;33;27.9;25.2;3.8;24.3;80.6;1.7;4.6;6.9
06/04/2022 00:00;33.4;29;25.4;7;24.2;75.1;1.8;4.6;7.8
07/04/2022 00:00;33.2;28.7;26.4;6.1;24.4;78;1.4;4.1;8.6
08/04/2022 00:00;33.4;28.2;24.9;4.6;23.9;77.5;1.4;4.6;7.6
09/04/2022 00:00;32.3;29.5;26.4;9.2;24.3;73.8;1.2;3.6;4.8
10/04/2022 00:00;32.4;29.4;26.6;5.7;24.2;73.9;1.4;3.1;7.6
11/04/2022 00:00;33;29.1;26.6;4.3;24.6;76.7;1.4;6.7;8.6
12/04/2022 00:00;32.6;29.2;27;5.5;24.6;76.6;.8;4.6;8.4
13/04/2022 00:00;32.7;29.5;26;2.9;24.6;75.1;1.7;3.1;6.5
14/04/2022 00:00;32.4;30;26.9;6;24.7;73.7;1.7;3.6;8
