Tanggal,Mataram,Jerowaru,Pemenang,Praya Barat Daya,Praya,Sekarbela,Santong,Sembalun
08/14/2022,0,0,7.1,0.8,1.6,0,2.8,9.2
08/15/2022,7.6,237,1.1,0.8,0,7,0.8,3.4
08/16/2022,0,0,7.8,1,0,0,0.8,0
08/17/2022,0,8,1.6,0.6,0,0,0,2
08/18/2022,0,0,0,0.8,0,0,0,0
08/19/2022,0,0,0,0.8,0.2,0,0,0
08/20/2022,0,0,0,0.6,0,0,0,0
08/21/2022,0,0,0,0.2,0,0,0,0
08/22/2022,0,0,0,0.4,0,0,0,0
08/23/2022,0,0,0,0,0,0,0,0
08/24/2022,0,0,0,0.2,0,0,0,0
08/25/2022,0,0,0,0,0,0,0,0
08/26/2022,0,0,0,0,0,0,0,0
08/27/2022,0,0,0,0,0,0,0,0
08/28/2022,0,0.8,0,0,0,0,0,0.6
08/29/2022,0,0,0,0,0,0,0,0
08/30/2022,0,0,0,0,0,0,0,0
08/31/2022,0,3.6,8.2,0,0,0,0,1.6
09/01/2022,2.8,0,7.4,0,1,18.4,4.4,0
09/02/2022,0,0,0,0,0,0,0,0
09/03/2022,0,144.2,0,0,0,0,0,0
09/04/2022,0,6,0,0,0,0,0,0
09/05/2022,0,0,0,0,0,0,0,0
09/06/2022,0,0,2.6,0,0.8,0,3,0
09/07/2022,69.2,3.8,79.9,0,0,0.6,19,1.4
09/08/2022,2.8,0,297,0,0,0.2,23.4,0
09/09/2022,64.6,0,0,0,10.2,26.8,5,0
09/10/2022,1,0,0,0,0.2,0,0.6,0
09/11/2022,0,0,17.2,0,0,0,0,0
09/12/2022,4.6,0,0,0,0,0.4,0,0
09/13/2022,22.6,0,0,0,0,6,0,0
09/14/2022,0,0,0,0,0,0,0,0
09/15/2022,0,0.2,0,0,8,0.2,0,0
09/16/2022,0.4,0,0,0,1.8,0,0,0
09/17/2022,0,0,0,0,0,0,0,0
09/18/2022,0,0,0,0,0,0,0,0
09/19/2022,0,0,0,0,0,0,0,0
09/20/2022,0,2.8,0.6,0,0.2,2.2,0,0
09/21/2022,0,0,0,0,0,0.2,0,8.2
09/22/2022,118.6,0.2,0,0,0,2.2,0,0
09/23/2022,0,0,55,0,0,0,0.8,0
09/24/2022,0,0,0,0,0.8,0,0,0
09/25/2022,0,0.2,24,0,0,0,0,0
09/26/2022,1,0,0.1,0,0.6,0,0,0.4
09/27/2022,0,0,0,1.2,0,0,0,0
09/28/2022,0,4.4,0,0,0,0,0,0
09/29/2022,0,0.2,0,0,0,0,0,0
09/30/2022,0.6,0,0,0,17.6,0.6,0,0
10/01/2022,43.6,26.4,0,0,83,16.2,13.6,0.8
10/02/2022,3.2,0,0,0,2,0,0,0.2
10/03/2022,0,0,9.8,0,4.8,15,0,1.2
10/04/2022,27.8,0,6.4,23,29.6,42.6,20.4,28
10/05/2022,13.2,240.6,0,0.6,0.2,8.6,2,7
10/06/2022,17,25.6,1.3,1,3.2,0.6,4.2,1
10/07/2022,49.4,0.8,25.6,0.6,2.4,34,7,1.4
10/08/2022,37,0,10.3,0.4,2.2,18.6,2.8,0.4
10/09/2022,13,1.2,33.3,0.4,1.2,11.2,0,0
10/10/2022,8,166,103.8,0.2,10,13.8,13.6,17.6
10/11/2022,3.6,0,108.3,0.4,0.2,0,21.6,3.2
10/12/2022,14,0,732.7,0.4,0.8,17.2,66.2,2.8
10/13/2022,0,0,0,0.2,8,1.2,0.2,0
10/14/2022,0,0,0,0.4,2.6,0,0.4,1.2
10/15/2022,0.4,105.6,13.8,0.4,2.6,0.6,19.6,0
10/16/2022,1.4,266.8,21.9,0,0.4,0,7,0
10/17/2022,3,0,104.9,0.4,37.4,34.4,6,0
10/18/2022,31.6,12,7.6,0.4,34.8,25.6,32.8,6.8
10/19/2022,56,0,18.7,0.6,67,22.4,13.8,17
10/20/2022,30.8,0,1.8,0.4,1,8.6,1,0.8
10/21/2022,10.4,0.2,0.1,0.6,2.4,0,0,0.4
10/22/2022,2.2,214,0,0.6,5.2,0.8,0,0.4
10/23/2022,0,2.8,0.4,0.6,19,0,0.8,3.6
10/24/2022,0,0,0,0.6,20.2,0,0,9.6
10/25/2022,2.4,0,5.7,1,8.6,27,0.6,26.2
10/26/2022,0.6,0,0,0.6,4.2,4.4,0,0.2
10/27/2022,0,0,0,0.6,11.4,2.6,0.2,14.6
10/28/2022,13.8,0,0,0.6,19.2,10.4,0,1
10/29/2022,0,0,0,0.6,0.2,0,0,5
10/30/2022,0,0,0,0.4,0,0,0,0
10/31/2022,0,0,0,0.4,0,0,0,0
11/01/2022,0,0,0,0.4,0,0,0,0
11/02/2022,23.2,0,0,0.6,13.8,0.6,0,0
11/03/2022,0.6,0,0,0.6,35,4.6,0,0
11/04/2022,11.6,0,14.2,0.4,0.6,0,0,0
11/05/2022,6.8,0,0.9,0.4,0.8,0.2,12,0
11/06/2022,58.8,0,14.4,0.4,0.2,28,4.6,0
11/07/2022,21.2,0,0,0.4,0,59.2,7.8,0
11/08/2022,50.6,0,0,0.4,15.2,21,0.2,3.2
11/09/2022,76,0.2,0,0.4,7.4,6,0.2,0.2
11/10/2022,0.4,0.2,2,0.6,67,0,0,16.6
11/11/2022,39.2,0,0,0.8,2.6,1.2,0,0.2
11/12/2022,1,0,0,0.4,16.4,3.6,0,0
11/13/2022,0,0,0,0.6,32.2,0.4,0,0
11/14/2022,2.8,0,0,0.4,17.8,0,42.8,0
11/15/2022,0.8,0,0,0.8,0.4,0.4,2.4,6.2
11/16/2022,6,0,6.5,0.6,0,2.2,21,7
11/17/2022,24,0,35.5,0.4,1.2,10.6,24.4,54.6
11/18/2022,0,0,0,0.2,0.4,0,0.2,8.4
11/19/2022,11,3.2,2.4,0.4,4,4.6,0.2,17.8
11/20/2022,0,12,50.3,0.2,0,0,2,0
11/22/2022,0,23.8,0.2,0.4,0,0,0,1.8
11/24/2022,2.2,0,0,0.4,0,0.8,0,0
11/25/2022,4.8,3.6,0.6,0.6,71.2,0,53.2,19.2
11/26/2022,0,0.8,0,0.8,1.8,0,0,0
11/27/2022,0,12,0,0.4,1,0,0,10
11/28/2022,0,0.6,0,0.6,0.6,0,0,0.4
11/29/2022,0.4,2.6,0,0.4,0,0.8,0,5
11/30/2022,0,0,0,0.2,8.2,0,0,29.6
12/01/2022,0,0,0,0,0,0,0,0
12/02/2022,0,1,0,0.6,0,0,0,0.4
12/03/2022,0,5.2,0.2,0.2,0,0,0,0.2
12/04/2022,0,0,0.2,0.6,8,2,2.2,3
12/05/2022,0,0.2,0,0.2,5.2,0,0.8,0
12/06/2022,0,0,0,0,0,0,0,0
12/07/2022,0,3.4,0,0,0,0,0,0
12/08/2022,0,0,0,1.2,5.4,0,4.8,0.8
12/09/2022,0,0,0,0,0,0,0.2,0
12/10/2022,0,0,0,0,9.6,0,0,0
12/11/2022,0,0,0,2.2,0,0,11.8,0
12/12/2022,0,0,0,0,0,0,0,0
12/13/2022,0,0,0,0,0,0,0.2,0.2
12/14/2022,2.4,1.8,0,23.8,71,0.4,1.6,5
12/15/2022,0,0,0,0,0,0,0,0.4
12/16/2022,1,0,0,8.4,4,0,26.6,0
12/17/2022,0,0,0,0,0.2,0,61.4,8.8
12/18/2022,0,0,0,0,0,0,0,0
12/19/2022,0,0,8.2,0,0,13.6,1.8,0.8
12/20/2022,0,0,0,0,0,0,0.8,0.2
12/21/2022,0,0,0,0,0,0,0,0
12/23/2022,21.8,7.8,0,22.2,10.6,32.4,1,16
12/24/2022,112.6,20,0,58.4,52.8,61,32.4,34
12/25/2022,14.8,10,0,71.2,31.8,21.4,0.6,11
12/26/2022,55.6,13.6,0,37.8,25.8,36.2,39.4,23.8
12/27/2022,0,0,0,2,0,0,4,2.6
12/28/2022,1.2,0,0,0.4,0,0.2,4.4,4
12/29/2022,18.4,12.8,0,13.8,11.6,12.6,1.2,12.4
12/30/2022,0.8,0.8,0,4.4,1.8,1,8.2,14.4
12/31/2022,0,0,0,0,0,0,13.4,43.6
01/02/2023,0.8,0.2,0,0.2,23.4,5.8,8,66.2
