rr,ws_avg,ws_max,wd_avg,tt_air_max,tt_air_avg,tt_air_min,rh_avg,pp_air,sr_avg,tt_sea,wl_pan,ev_pan
9.4,2.14,9.8,145.45,30.6,26.83,24.8,81.51,1010.04,275.46,226.69,226.69,0
2.4,3.03,10,104.55,29.9,27.96,26,80.17,1009.55,534.4,24.07,24.07,0.07
21.2,1.34,9.1,236.92,29.7,24.42,23.8,91.12,1011.53,124.12,22.36,22.36,0
30,3.71,10.9,115.71,27.6,26.78,24.2,78.17,1010.9,602.34,25.09,25.09,0.02
0,2.65,7.4,105,30,27.35,23.8,71.43,1009.99,465.7,27.96,27.96,0.08
0,2.13,6.4,153.18,30,26.8,22.5,71.95,1009.79,387.88,28.04,28.04,0.06
0,1.93,6.9,171.36,30.3,27.09,22.8,75.37,1009.69,287.6,27.84,27.84,0.09
0,4.43,11.4,112.73,30.5,28.07,23.8,75.3,1009.46,826.48,27.98,27.98,0.19
28,3.64,11.8,125.45,28.6,26.81,25.3,86.17,1008.95,658.95,27.19,27.19,0.1
0.2,1.89,6.4,173.64,30.4,28.01,26,83,1008.2,253.14,29.59,29.59,0
0,1.54,4.9,149,31.5,28.66,26.1,81.09,1008.53,164.36,30.21,30.21,0.15
1.6,1.94,6.6,161.5,31.5,28.65,25.8,81.51,1009.64,221.91,30.18,30.18,0.03
4.8,2.05,7.2,123.64,30.6,27.56,24.9,80.46,1011.31,308.75,29.11,29.11,0.12
0,2.54,6.6,112.94,30,27.3,24.9,76.58,1011.17,387.38,26.57,26.57,0.2
1.6,2.55,8.9,102.73,29.8,26.83,23.7,74.1,1010.73,390.49,27.42,27.42,0.16
5,2.61,8.2,136.36,29.5,26.58,23.3,74.49,1010.46,426.67,27.54,27.54,0
13,2.21,8.7,158.18,29.4,26.42,24.1,81.78,1010.52,306.88,26.54,26.54,0.15
1.6,2.91,8.7,115.91,30.4,27.99,24.5,78.78,1010.97,490.35,28.75,28.75,0.13
9.4,3.1,9,120.91,30.6,28.21,25.4,79.59,1009.3,556.24,29.28,29.28,0.11
40.2,1.48,6.9,177.14,30.1,26.06,23.9,87.11,1009.34,150.7,27.53,27.53,0.06
0.4,2.98,8.9,134.5,30.1,27.57,25.4,82.27,1009.6,477.53,28.31,28.31,0.07
77.4,2.98,9.9,129.55,29.9,27.25,24.4,82.63,1010.19,496.9,28.76,28.76,0.2
2.4,1.43,7.6,152.78,28.6,25.73,24.3,85.76,1011.88,114.84,27.53,27.53,0.24
0,3.42,8.2,117.14,30.2,27.8,25.3,77.15,1010.89,632.21,28.21,28.21,0.06
0,2.98,8.1,112.27,30,27.8,25.9,76.8,1010.4,507.4,28.68,28.68,0
0,2.73,8.3,99,30.4,27.73,24.4,76.13,1010.07,467.29,28.63,28.63,0.11
0,2.91,7.6,112.94,29.8,27.35,24.9,74.47,1011.26,515.16,27.79,27.79,0.05
1,3.56,8.9,120.48,29.9,27.35,24.8,76.26,1011.53,667.1,27.51,27.51,0.03
1.2,3.01,9.7,101.82,29.3,26.95,25.3,77.58,1011.99,523.55,26.7,26.7,0.12
3.2,3.62,9.7,122.73,29.9,27.26,24.8,77.93,1011.04,641.71,27.77,27.77,0.05
0,3.92,10.7,105,29.5,26.57,22.4,73.39,1010.41,742.84,26.85,26.85,0.12
0,2.74,8.4,150.91,29.2,26.05,21.9,69.94,1011.33,498.67,27.38,27.38,0.13
0,2.76,7.9,144.55,28.8,26.54,22,75.05,1010.65,482.45,27.46,27.46,0.03
0,2.98,7.5,121.82,29.2,27.18,24.4,78.89,1010.12,513,28.4,28.4,0.03
0,2.8,9,120.45,29.7,27.09,25.6,80.64,1009.8,482.48,28.36,28.36,0.06
0,2.68,7.6,116.5,29.3,27.05,25.4,80.34,1010.07,462,28.32,28.32,0.07
0,2.81,8.1,104.55,29.3,26.76,23.7,78.33,1010.36,475.69,28.02,28.02,0.06
0,2.15,7.2,130.45,29.3,26.55,23.6,80,1009.04,319.68,27.87,27.87,0.08
0,2.32,6.7,156.84,29.8,27.29,24,80.21,1009.45,312.98,28.52,28.52,0.27
0,2.06,7.4,159.05,30,27.06,24.6,80.05,1009.99,307.61,28.39,28.39,0.6
0.6,2.96,8.5,136.82,29.7,27.67,24.7,79.84,1010.67,481.68,28.54,28.54,
0,2.68,8.1,102.27,30.5,27.3,23.6,75.76,1011.5,436.76,28.44,28.44,0.13
0,2.17,6.6,158.18,30.2,27.21,23.7,72.78,1011.52,314.82,28.79,28.79,0.08
39.4,2.5,7.5,151.82,30.3,27.06,23.7,78.32,1011.49,386.37,28.7,28.7,0.04
0,2.91,8.6,139.05,29.7,27.09,24.6,74.94,1011.54,434.5,28.27,28.27,0.06
8.6,2.43,7.6,127.27,29.4,26.81,23.9,76.66,1010.98,325.74,28.25,28.25,0.13
16,3.5,10.7,130.91,28,26.32,24.3,82.52,1010.34,614.24,26.84,26.84,0
17.6,3.62,10.1,137.62,28,26.48,25,85.91,1010.97,574.94,27.32,27.32,0
0,1.2,4.6,260.91,27.2,25.13,24.3,89.37,1010.62,55.95,25.83,25.83,0.03
16.8,3.61,9.7,134.55,28.9,26.84,25.2,85.06,1010.56,658.08,27.52,27.52,0.16
1.8,1.73,6.6,188.18,30.1,27.58,24.5,81.8,1010.68,176.24,29.05,29.05,0.11
5.2,1.83,7.2,233.64,30.6,27.33,24.5,81.52,1011.14,192.99,29.6,29.6,0.08
1.6,2.75,8.4,156.82,30.7,28,25.2,79.18,1011.56,353.48,29.46,29.46,0.09
9.4,3.63,9.5,114.09,30.1,27.65,24.4,74.29,1012.07,622.75,28.25,28.25,0.16
0,4.46,11.1,114.74,29.6,27.36,25.1,77.05,1011.12,780.25,27.85,27.85,0.16
0.2,4.59,12.9,121.9,29.7,27.39,25.3,75.86,1011.34,815.64,27.12,27.12,0.07
0,3.9,9.6,124.29,29.7,27.33,25.5,70.91,1010.85,682.35,27.65,27.65,0.13
0,2.87,7.6,103.18,29.6,26.81,24.9,77.31,1011.3,445.51,26.96,26.96,0.06
0,3.86,9.5,115.24,29.5,27.2,25,77.23,1011.61,644.02,28.2,28.2,0
0,4.07,10.1,120,29,26.68,25.5,77.41,1011.77,690.54,27.31,27.31,0.1
0,4.12,9.4,121.82,28.9,26.75,25.3,76.63,1011.69,720.59,27.71,27.71,0.03
0.2,3.72,9.4,122.27,29,26.77,25.3,77.08,1011.51,622.87,28,28,0.05
0,3.48,8,117.78,28.7,27.71,25.6,76,1010.67,604.42,29.79,29.79,0.17
3.2,3.69,8.8,121.5,29,26.52,24.5,77.27,1010.82,645.29,27.83,27.83,0.04
0,2.99,7.6,111.82,28.8,26.26,24.4,75.6,1011.04,497.9,27.25,27.25,0.03
1.6,2.62,7.1,111,28.5,26.07,24.4,77.87,1012.09,409.28,27.04,27.04,0.03
0,2.78,7.5,128.5,28.7,26.49,24.8,80.95,1010.57,408.86,29.17,29.17,0.07
3,2.51,7.7,119.5,27.9,26.12,25.2,87.1,1009.87,338.76,26.87,26.87,0.03
29.4,2.66,7.9,117.14,29.2,26.83,25.1,84.72,1010.82,347.16,28.7,28.7,0.07
0.2,3.07,7.4,130.48,29.2,27.06,25.6,83.13,1011.22,436.29,29.65,29.65,0.07
0,2.32,7.1,119.05,29.2,26.73,23.7,80.89,1011.66,293.7,29.14,29.14,0.2
0,2.35,7.6,144.09,29.6,26.91,24.4,78.08,1011.4,332.84,28.71,28.71,0.08
0,3,7.4,132.38,30,27.47,25.2,79.28,1011.11,465.71,29.28,29.28,0.12
0.8,3.09,8.3,118.18,30,27.76,25.5,78.2,1011.1,469.48,29.38,29.38,0.1
73.6,2.9,9.1,115.45,30.2,27.1,24.6,82.67,1011.88,433.45,28.33,28.33,0.13
