tanggal,temp_max,temp_avg,temp_min,ev_pan,dew point,rh,ws_avg,ws_max,sr,pp_air
5/20/2022,31.6,28.3,26,1.6,24.8,81.4,1.6,3.1,2.9,1010
5/21/2022,31.2,28.5,26,4.9,24.7,79.9,2,5.1,6.1,1008.9
5/22/2022,30.8,28.2,26.6,3,24.9,82.7,1.8,5.1,4.3,1007.8
5/23/2022,32.8,29.6,27.4,2.9,25,76.2,3.7,7.2,0.7,1008.3
5/24/2022,33.4,30.4,27,4.2,25.7,76,3.3,6.7,7.3,1009.9
5/25/2022,32.2,27.9,26,4.7,24.4,81.5,2.4,6.2,6.3,1010.3
5/26/2022,30,27.5,25.5,8.7,24.3,83.2,1.5,3.6,2.4,1010.1
5/27/2022,32.4,28.7,24.3,0.5,24.6,78.6,1.6,6.7,0.3,1009.3
5/28/2022,29.8,26.4,23.2,6.1,23.8,85.6,1.9,8.7,8.5,1009.3
5/29/2022,32.2,28.5,23.2,1.4,24.5,79.2,1.4,5.1,0.7,1008.4
5/30/2022,30.8,27.8,25.6,0.5,24.5,82.3,0.9,3.6,7.8,1008.1
5/31/2022,32.2,28.3,25.8,1.3,24.3,79,1.7,5.7,3.8,1008.2
6/1/2022,33,29.5,26.6,2.8,25,77,1.3,5.7,6.8,1008.6
6/2/2022,32.2,27.8,25.6,2.8,24.5,82.3,1.2,4.1,6.6,1009.5
6/3/2022,31.9,29.3,26.2,3,25,77.9,1.6,4.1,6.3,1009.7
6/4/2022,31.9,29.7,27,4.7,25.4,77.6,1.3,3.1,6.8,1010
6/5/2022,32.3,29,26.6,3.9,24.7,77.7,1.3,4.6,8.1,1009.4
6/6/2022,30.4,27.8,26,5.6,24,79.6,1.8,3.6,6.9,1008.9
6/7/2022,31.8,29.1,26.2,3.3,25.1,78.9,2.6,5.7,0,1009
6/8/2022,29.8,27.6,25.6,3.5,24.8,84.4,1.3,5.1,6.7,1009
6/9/2022,30,26.5,25,,24,86.6,0.6,3.6,,1009.8
6/10/2022,33.8,29.3,25.2,0.7,24.6,76.1,2,4.6,1.4,1008.7
6/11/2022,32,28.9,26.4,4.9,25.2,80.4,1.5,6.7,8.9,1009.5
6/12/2022,31.3,28.6,26.2,3.4,24.5,78.8,1.4,3.1,5.7,1009.9
6/13/2022,31.2,28.3,26.2,2.2,24.2,78.1,1.3,2.6,5.5,1010.6
6/14/2022,30.9,28.5,26.7,2.7,24.4,78.4,1.5,5.1,2.3,1009.7
6/15/2022,30,27.2,25.4,3.6,24.9,87.1,0.9,4.6,1.1,1010.1
6/16/2022,29.2,27.5,25.4,2.1,24.9,85.8,1,3.6,0,1010.4
6/17/2022,28.4,27,25,1.4,24.7,87.1,1.3,3.1,1.1,1010.4
6/18/2022,29.9,27.5,25,1.5,24.4,83.3,0.5,3.6,0.4,1010.4
6/19/2022,31.7,29,25.6,2,25,78.7,2,5.1,2.5,1009.2
6/20/2022,31.9,29,26.8,5.4,24.6,77.1,1,4.6,7.2,1008.3
6/21/2022,32.2,29.3,26.2,2.5,25,77.9,2,5.1,8.8,1008.3
6/22/2022,32.8,29.2,26.4,4.7,25.1,78.7,2.2,5.1,9,1009.7
6/23/2022,33.6,29.7,26.8,5.7,24.7,74.3,2,5.7,6.1,1010
6/24/2022,31,28.3,26.8,2.4,24.6,80.5,1.4,5.7,3.7,1009.1
6/25/2022,31.1,28.4,26.7,1.8,24.6,79.7,1.1,4.6,1.9,1008.9
6/26/2022,29.9,28.1,26.7,4.5,25.1,83.4,1.1,3.1,3.2,1010.1
6/27/2022,31.6,28.6,26.4,1.8,24.8,80.2,1.1,3.1,0.8,1009.7
6/28/2022,31.6,29,26.4,5.7,24.4,76.1,1.9,3.6,4.7,1008.1
6/29/2022,32,28.9,26,3.3,24.1,75.1,1.6,5.7,7.9,1007.9
6/30/2022,31.4,28.9,25.8,,23.8,74.1,2,4.1,,1008.5
7/1/2022,32.3,29.2,26,7.5,23.9,73.3,1.8,3.1,8.1,1008.6
7/2/2022,32.1,29.6,26.7,2.3,25.2,77.3,1.8,3.6,7.8,1007.5
7/3/2022,32.2,28.9,25.8,4.5,25.5,81.6,2.3,5.1,5.3,1007.6
7/4/2022,33,30,27.2,7.7,25.5,77.1,3,5.1,5.1,1008.2
7/5/2022,33,29.7,25.2,6,25.4,77.5,1.7,4.6,8,1008.9
7/6/2022,28.4,27.2,25.8,5.9,24.9,87.4,0.7,2.1,9,1010.5
7/7/2022,31.7,29.4,26.4,2.6,24.6,75.5,1,3.6,1.7,1010.2
7/8/2022,32.6,29.8,27,3.8,24.9,74.9,1.6,4.6,8.5,1008.5
7/9/2022,32,29.1,25.8,5.4,23.7,72.7,1.5,4.1,8.6,1008.6
7/10/2022,33.2,29.2,25.8,6.5,23.7,72.1,2.7,5.1,7.9,1008.8
7/11/2022,31.6,29.3,26.6,2.6,24.3,74.9,1.2,3.6,9.2,1009.6
7/12/2022,32.8,29.7,27.4,0.5,25.1,76.5,2.3,5.1,2.4,1008.7
7/13/2022,30.4,27.7,26.1,5.5,25.1,85.4,1.9,3.6,4.2,1008.9
7/14/2022,32.6,29.4,26.8,2.3,24.8,76.5,3,4.6,0.9,1008.5
7/15/2022,32.6,28.1,23,5.2,24.5,81.1,2.9,5.7,8.6,1009.7
7/16/2022,30.4,26.9,23,11.9,23.8,83.1,1.6,3.6,8.4,1010.2
7/17/2022,31,28.3,26,2.7,24.9,82.2,1.6,4.1,0.5,1010.1
7/18/2022,31.6,29,26.1,1.5,25.2,80,2.1,4.1,0.8,1008.8
7/19/2022,32,29.5,26.8,4.9,25.4,78.7,2.2,5.1,8.5,1008.3
7/20/2022,32.6,29.5,26.8,5.7,25.4,78.3,2.2,4.6,8.9,1009.4
7/21/2022,31.8,29.4,27,4.2,24.6,75.3,1.3,4.1,8.9,1009.4
7/22/2022,31,28.6,26.3,5,24.5,78.8,2.4,5.7,8.2,1010.5
7/23/2022,32.7,29.3,26.6,2.6,25,78,1.8,4.6,2.2,1009.1
