tanggal,tomang,sukapura,pulomas,manggarai,lebak bulus,kemayoran,kelapa gading,ciganjur,istana,manggarai2,sunter kodamar,sunter rawabadak,rorotan,bandara halim,pakubuwono,ragunan,pasar minggu,kapuk,kedoya selatan,pulo gadung,sunter hulu,setiabudi,waduk melati,cideng,karet,teluk gong
2/17/2022,13,37.2,13.4,52.4,23,630.8,103.2,38.6,33,55,15.5,32,40.5,27.8,57,47.5,47,4.5,11.5,29,45,37,22,34,20,9
2/18/2022,0.2,0.2,0,11,1.6,0,0.4,0,0,15,1,2,0,0.4,13,2,7,1.5,0.3,0,0,23,17,1,12,1
2/19/2022,1.2,1.2,58.2,49.6,2.6,28.6,3.6,1,16,12,4,2,0.5,0.3,6,2,,1,32.2,3,0,21,41,7,32,2
2/20/2022,0,0,37.2,34.8,2.2,67.2,0,0.2,0,17,2.5,0,0,13.2,0,1.5,5,0,0,2,10,0,0,0,0,0
2/21/2022,1.4,1.8,0,0,0.8,7.2,2,1.8,0,0,0,0,0,3.6,0,0,,0,0,0,18,0,0,0,0,0
2/22/2022,0.4,23.8,0.6,0,2.4,8.6,0.8,,5,3,1,4,1,0.6,4,1,,1,0.9,0,0,4,5,6,6,1
2/23/2022,1.8,2.4,0.8,3.6,0,1,1.2,,0,8,2,3,1,0,1,0,0,1,2.5,4,0,0,0,2,0,1
2/24/2022,18.2,0.8,14.8,2.2,5,142.8,0.8,,10,3,8,6,3,0.7,1.5,3.5,,3,4.6,0,1,4,4,13,5,17
2/25/2022,0,0,0,0,0,3.2,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2/26/2022,2.4,1.6,4,3,4.2,15.4,1.6,,3,3,0,0,3.5,2,4,3.5,3,3.5,2.6,6,0,3,2,3,3,0
2/27/2022,0,0,0,0.8,12.6,0,0,,0,0,0,0,0,10,0,151,18,0,,0,1,2,1,0,0,0
2/28/2022,2.4,0,0,0,30.4,6.6,0,,0,0,0,0,17,3.6,0,7.5,19,17,1.9,0,0,0,0,1,10,15
3/1/2022,7.6,5.6,3,1,20.2,30,1.8,,12,11,7,9,9,18.5,22,24,25,13,16.2,5,20,8,7,12,10,12.5
